Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2011-01-01 0:00,2011,1,1,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 1:00,2011,1,1,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 2:00,2011,1,1,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 3:00,2011,1,1,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 4:00,2011,1,1,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 5:00,2011,1,1,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 6:00,2011,1,1,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 7:00,2011,1,1,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 8:00,2011,1,1,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 9:00,2011,1,1,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 10:00,2011,1,1,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 11:00,2011,1,1,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 12:00,2011,1,1,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 13:00,2011,1,1,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 14:00,2011,1,1,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 15:00,2011,1,1,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 16:00,2011,1,1,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 17:00,2011,1,1,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 18:00,2011,1,1,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 19:00,2011,1,1,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 20:00,2011,1,1,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 21:00,2011,1,1,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 22:00,2011,1,1,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-01 23:00,2011,1,1,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 0:00,2011,1,2,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 1:00,2011,1,2,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 2:00,2011,1,2,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 3:00,2011,1,2,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 4:00,2011,1,2,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 5:00,2011,1,2,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 6:00,2011,1,2,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 7:00,2011,1,2,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 8:00,2011,1,2,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 9:00,2011,1,2,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 10:00,2011,1,2,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 11:00,2011,1,2,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 12:00,2011,1,2,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 13:00,2011,1,2,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 14:00,2011,1,2,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 15:00,2011,1,2,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 16:00,2011,1,2,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 17:00,2011,1,2,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 18:00,2011,1,2,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 19:00,2011,1,2,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 20:00,2011,1,2,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 21:00,2011,1,2,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 22:00,2011,1,2,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-02 23:00,2011,1,2,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 0:00,2011,1,3,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 1:00,2011,1,3,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 2:00,2011,1,3,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 3:00,2011,1,3,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 4:00,2011,1,3,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 5:00,2011,1,3,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 6:00,2011,1,3,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 7:00,2011,1,3,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 8:00,2011,1,3,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 9:00,2011,1,3,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 10:00,2011,1,3,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 11:00,2011,1,3,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 12:00,2011,1,3,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 13:00,2011,1,3,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 14:00,2011,1,3,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 15:00,2011,1,3,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 16:00,2011,1,3,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 17:00,2011,1,3,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 18:00,2011,1,3,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 19:00,2011,1,3,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 20:00,2011,1,3,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 21:00,2011,1,3,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 22:00,2011,1,3,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-03 23:00,2011,1,3,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 0:00,2011,1,4,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 1:00,2011,1,4,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 2:00,2011,1,4,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 3:00,2011,1,4,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 4:00,2011,1,4,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 5:00,2011,1,4,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 6:00,2011,1,4,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 7:00,2011,1,4,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 8:00,2011,1,4,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 9:00,2011,1,4,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 10:00,2011,1,4,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 11:00,2011,1,4,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 12:00,2011,1,4,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 13:00,2011,1,4,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 14:00,2011,1,4,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 15:00,2011,1,4,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 16:00,2011,1,4,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 17:00,2011,1,4,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 18:00,2011,1,4,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 19:00,2011,1,4,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 20:00,2011,1,4,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 21:00,2011,1,4,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 22:00,2011,1,4,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-04 23:00,2011,1,4,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 0:00,2011,1,5,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 1:00,2011,1,5,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 2:00,2011,1,5,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 3:00,2011,1,5,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 4:00,2011,1,5,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 5:00,2011,1,5,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 6:00,2011,1,5,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 7:00,2011,1,5,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 8:00,2011,1,5,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 9:00,2011,1,5,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 10:00,2011,1,5,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 11:00,2011,1,5,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 12:00,2011,1,5,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 13:00,2011,1,5,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 14:00,2011,1,5,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 15:00,2011,1,5,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 16:00,2011,1,5,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 17:00,2011,1,5,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 18:00,2011,1,5,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 19:00,2011,1,5,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 20:00,2011,1,5,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 21:00,2011,1,5,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 22:00,2011,1,5,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-05 23:00,2011,1,5,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 0:00,2011,1,6,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 1:00,2011,1,6,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 2:00,2011,1,6,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 3:00,2011,1,6,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 4:00,2011,1,6,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 5:00,2011,1,6,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 6:00,2011,1,6,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 7:00,2011,1,6,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 8:00,2011,1,6,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 9:00,2011,1,6,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 10:00,2011,1,6,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 11:00,2011,1,6,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 12:00,2011,1,6,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 13:00,2011,1,6,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 14:00,2011,1,6,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 15:00,2011,1,6,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 16:00,2011,1,6,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 17:00,2011,1,6,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 18:00,2011,1,6,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 19:00,2011,1,6,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 20:00,2011,1,6,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 21:00,2011,1,6,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 22:00,2011,1,6,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-06 23:00,2011,1,6,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 0:00,2011,1,7,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 1:00,2011,1,7,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 2:00,2011,1,7,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 3:00,2011,1,7,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 4:00,2011,1,7,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 5:00,2011,1,7,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 6:00,2011,1,7,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 7:00,2011,1,7,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 8:00,2011,1,7,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 9:00,2011,1,7,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 10:00,2011,1,7,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 11:00,2011,1,7,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 12:00,2011,1,7,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 13:00,2011,1,7,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 14:00,2011,1,7,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 15:00,2011,1,7,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 16:00,2011,1,7,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 17:00,2011,1,7,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 18:00,2011,1,7,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 19:00,2011,1,7,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 20:00,2011,1,7,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 21:00,2011,1,7,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 22:00,2011,1,7,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-07 23:00,2011,1,7,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 0:00,2011,1,8,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 1:00,2011,1,8,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 2:00,2011,1,8,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 3:00,2011,1,8,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 4:00,2011,1,8,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 5:00,2011,1,8,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 6:00,2011,1,8,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 7:00,2011,1,8,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 8:00,2011,1,8,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 9:00,2011,1,8,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 10:00,2011,1,8,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 11:00,2011,1,8,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 12:00,2011,1,8,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 13:00,2011,1,8,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 14:00,2011,1,8,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 15:00,2011,1,8,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 16:00,2011,1,8,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 17:00,2011,1,8,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 18:00,2011,1,8,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 19:00,2011,1,8,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 20:00,2011,1,8,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 21:00,2011,1,8,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 22:00,2011,1,8,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-08 23:00,2011,1,8,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 0:00,2011,1,9,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 1:00,2011,1,9,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 2:00,2011,1,9,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 3:00,2011,1,9,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 4:00,2011,1,9,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 5:00,2011,1,9,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 6:00,2011,1,9,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 7:00,2011,1,9,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 8:00,2011,1,9,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 9:00,2011,1,9,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 10:00,2011,1,9,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 11:00,2011,1,9,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 12:00,2011,1,9,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 13:00,2011,1,9,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 14:00,2011,1,9,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 15:00,2011,1,9,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 16:00,2011,1,9,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 17:00,2011,1,9,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 18:00,2011,1,9,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 19:00,2011,1,9,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 20:00,2011,1,9,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 21:00,2011,1,9,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 22:00,2011,1,9,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-09 23:00,2011,1,9,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 0:00,2011,1,10,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 1:00,2011,1,10,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 2:00,2011,1,10,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 3:00,2011,1,10,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 4:00,2011,1,10,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 5:00,2011,1,10,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 6:00,2011,1,10,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 7:00,2011,1,10,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 8:00,2011,1,10,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 9:00,2011,1,10,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 10:00,2011,1,10,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 11:00,2011,1,10,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 12:00,2011,1,10,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 13:00,2011,1,10,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 14:00,2011,1,10,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 15:00,2011,1,10,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 16:00,2011,1,10,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 17:00,2011,1,10,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 18:00,2011,1,10,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 19:00,2011,1,10,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 20:00,2011,1,10,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 21:00,2011,1,10,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 22:00,2011,1,10,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-10 23:00,2011,1,10,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 0:00,2011,1,11,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 1:00,2011,1,11,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 2:00,2011,1,11,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 3:00,2011,1,11,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 4:00,2011,1,11,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 5:00,2011,1,11,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 6:00,2011,1,11,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 7:00,2011,1,11,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 8:00,2011,1,11,8,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 9:00,2011,1,11,9,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 10:00,2011,1,11,10,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 11:00,2011,1,11,11,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 12:00,2011,1,11,12,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 13:00,2011,1,11,13,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 14:00,2011,1,11,14,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 15:00,2011,1,11,15,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 16:00,2011,1,11,16,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 17:00,2011,1,11,17,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 18:00,2011,1,11,18,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 19:00,2011,1,11,19,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 20:00,2011,1,11,20,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 21:00,2011,1,11,21,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 22:00,2011,1,11,22,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-11 23:00,2011,1,11,23,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 0:00,2011,1,12,0,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 1:00,2011,1,12,1,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 2:00,2011,1,12,2,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 3:00,2011,1,12,3,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 4:00,2011,1,12,4,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 5:00,2011,1,12,5,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 6:00,2011,1,12,6,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 7:00,2011,1,12,7,-999,µg/m?1 Hr,Missing,
Shanghai,PM2.5,2011-01-12 8:00,2011,1,12,8,-999,µg/m?1 Hr,Missing,
